"State_Acronym","year","BUSLICTAX","CORPINCTX","CORPLICTAX","PROPTAX","SLGRTAX","SVRNCTAX","TLINCTAX","TLSLTAX","TOTLTAX","INCTAX","SALESTAX","state","Region","Number","sales","industry_dum","election_dum","phase_in_dum","rates","log_CIT","log_sales","log_rate","year_effective","group","Post","treatment","rel_year","log_totrev","State_Name","CPI_def","real_totRev","logRealTotRev","population","real_cit","logRealCitRev","Tot_logReal_capita","CIT_logReal_capita","real_totRev_capita","real_cit_capita","detrended_RTR_capita","detrended_CIT_capita","naive_ci","Ann_CORPINC","real_ci","real_ci_cap","log_ci","real_log_nci"
"FL",1980,66707,371405,8192,86091,3544031,121254,371405,1291918,4804298,NA,NA,9,NA,NA,50,NA,NA,NA,5,12.8250483903842,3.91202300542815,1.6094379124341,NA,"n",0,0,NA,15.3850214918984,"Florida",82.4,5830458.73786408,15.5786062409711,9839.835,450734.223300971,13.0186331394568,0.00158321823902241,0.00132305400847238,592.536230319317,45.8070916129153,-97.9119274458511,6.22366221626467,7428100,209760896.256963,9014684.46601942,916.141832258307,15.8207806639382,16.0143654130108
"FL",1981,79190,402471,9841,101756,3908552,169213,402471,1365657,5314376,NA,NA,9,NA,NA,50,NA,NA,NA,5,12.9053783235556,3.91202300542815,1.6094379124341,NA,"n",0,0,NA,15.4859261592911,"Florida",90.9,5846398.23982398,15.5813363440957,10192.774,442762.376237624,13.0007885083603,0.00152866494872698,0.00127549070629451,573.582641960273,43.4388495455333,-122.063131977308,3.55648094369954,8049420,218461265.651104,8855247.52475248,868.776990910666,15.9011105971096,15.9965207819143
"FL",1982,76423,383827,11226,109512,4189571,157633,383827,1405682,5555936,NA,NA,9,NA,NA,50,NA,NA,NA,5,12.8579472092215,3.91202300542815,1.6094379124341,NA,"n",0,0,NA,15.5303774637116,"Florida",96.5,5757446.63212435,15.5660046413547,10471.407,397748.186528497,12.8935743868647,0.00148652465149666,0.00123131250526932,549.8255040726,37.9842161161817,-151.017886037393,-2.19709169083519,7676540,214769417.46952,7954963.73056995,759.684322323633,15.8536794827755,15.8893066604187
"FL",1983,91175,371453,11760,131327,4795751,137933,371453,1461544,6224717,NA,NA,9,NA,NA,50,NA,NA,NA,5,12.8251776210045,3.91202300542815,1.6094379124341,NA,"n",0,0,NA,15.6440385374342,"Florida",99.6,6249715.86345382,15.6480465588318,10749.851,372944.779116466,12.829185642402,0.00145565241405037,0.00119342915938109,581.376975685879,34.6930184536014,-124.664030596527,-5.78722855859863,7429060,200953385.328759,7458895.58232932,693.860369072029,15.8209098945585,15.824917915956
"FL",1984,91325,365446,13463,149256,5731434,157823,365446,1750485,7329368,NA,NA,9,NA,NA,50,NA,NA,NA,5,12.8088738044389,3.91202300542815,1.6094379124341,NA,"n",0,0,NA,15.807399849136,"Florida",103.9,7054252.16554379,15.769141137019,11039.925,351728.585178056,12.7706150923218,0.00142837393705292,0.00115676647190282,638.976457316856,31.8596897332234,-72.2621651379624,-8.91949648415975,7308920,238577256.87217,7034571.70356112,637.193794664467,15.8046060779929,15.7663473658758
"FL",1985,113044,454088,18086,162155,6495990,173178,454088,1823586,8334433,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,13.0260462908395,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,15.9359060454584,"Florida",107.6,7745755.57620818,15.8626555837188,11351.118,422014.869888476,12.9527958290999,0.00139745314811447,0.00114110309038281,682.378209459912,37.1782647214553,-34.058029167319,-3.89986070111099,8256145.45454545,272041415.381614,7672997.63433592,675.968449481004,15.9264683845892,15.8532179228496
"FL",1986,131046,486925,19431,206556,7062173,170902,486925,2034797,9120166,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,13.0958653860981,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,16.0259985636392,"Florida",109.6,8321319.3430657,15.9343313751134,11667.505,444274.635036496,13.0041981975723,0.00136570169673066,0.00111456547030169,713.204694839702,38.0779468306631,-8.42915995994144,-3.29911779708632,8853181.81818182,284792646.384774,8077720.63702721,692.326306012057,15.9962874798478,15.9046202913219
"FL",1987,139310,596434,21642,221959,7588541,81268,596434,2110263,9846235,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,13.2987238689668,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,16.1025997065759,"Florida",113.6,8667460.38732394,15.9750863862769,11997.283,525029.929577465,13.1712105486678,0.00133155868593555,0.00109784945046873,722.451940770585,43.762402668793,-4.37953020147108,2.08639883586045,10844254.5454545,314373048.995622,9545998.71959023,795.680048523506,16.1991459627164,16.0716326424175
"FL",1988,142621,624032,22086,222918,9144286,75023,624032,2281659,11491278,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,13.343956928088,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,16.2570988707937,"Florida",118.3,9713675.40152156,16.0890452857975,12306.395,527499.577345731,13.1759033430917,0.00130737273472837,0.00107065500035483,789.319325563787,42.863858777955,57.2902384193184,0.88891573983932,11346036.3636364,343153129.535969,9590901.40628605,779.342886871911,16.2443790218376,16.0763254368414
"FL",1989,167858,725364,25000,259858,9878661,60553,725364,2240704,12455553,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,13.4944288768079,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,16.3376771055322,"Florida",124,10044800.8064516,16.1225657259152,12637.715,584970.967741936,13.2793174971909,0.00127575006446301,0.00105076886899182,794.827293260815,46.2877163903392,57.6005899439339,4.01383414704038,13188436.3636364,369976945.311698,10635835.7771261,841.594843460715,16.3948509705575,16.1797395909406
"FL",1990,172487,698825,33663,308570,10577503,65861,698825,2386089,13289492,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,13.4571556322174,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,16.4024842057301,"Florida",130.7,10167935.730681,16.134749771088,13018.365,534678.653404744,13.1894211975754,0.00123938372991447,0.00101313960682277,781.045525354451,41.0711063489727,38.6212058651573,-1.50171509950925,12705909.0909091,340558076.160258,9721430.06190444,746.74738816314,16.3575777259671,16.089843291325
"FL",1991,185720,582149,46538,430334,10884691,71938,582149,2746001,13764055,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,13.2744817076934,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,16.4375710418229,"Florida",136.2,10105767.2540382,16.1286168340956,13289.497,427422.173274596,12.965527499966,0.00121363636517587,0.000975622139797017,760.432637445812,32.1624041357319,12.8107017841057,-10.7093565179332,10584527.2727273,310774031.623134,7771312.24135632,584.770984286036,16.174903801443,15.8659495937157
"FL",1992,223136,695114,48832,490073,11377260,67000,695114,3051282,14504207,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,13.4518311398727,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,16.48994930324,"Florida",140.3,10337995.0106914,16.1513365021196,13504.775,495448.325017819,13.1132183387523,0.00119597227662953,0.000971006058135166,765.506645663582,36.6868996349676,12.6870938294633,-6.48380022388061,12638436.3636364,336635527.369093,9008151.36396037,667.034538817594,16.3522532336223,16.013640432502
"FL",1993,224877,755900,112467,666360,12720388,64493,755900,3425105,16407214,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,13.5356643712803,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,16.6132316741252,"Florida",144.5,11354473.3564014,16.2451223525608,13713.593,523114.186851211,13.1675550497159,0.00118460000618079,0.00096018272160446,827.97217012357,38.1456695448969,69.9550021170386,-5.32396951913445,13743636.3636364,371062353.902289,9511167.03365841,693.557628089036,16.4360864650299,16.0679771434655
"FL",1994,230785,950235,117592,681484,13551787,54362,950235,3509427,17808222,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,13.7644646014073,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,16.695170818727,"Florida",148.2,12016344.1295547,16.3017782918531,13961.798,641184.210526316,13.3710720745334,0.00116759877859951,0.000957689838696517,860.658786895119,45.9241861632947,97.4440027161751,2.15560789408023,17277000,409648996.494151,11657894.7368421,834.985202968995,16.6648866951569,16.271494168283
"FL",1995,241050,944969,121887,706021,14326946,72941,944969,3670398,18564650,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,13.758907401705,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,16.7367697927358,"Florida",152.4,12181528.8713911,16.3154313354714,14185.403,620058.398950131,13.3375689444405,0.00115015634983873,0.000940231937326035,858.736891112018,43.7110175121659,90.3244907606615,-0.356499962231709,17181254.5454545,455332995.087407,11273789.0718205,794.745772948469,16.6593294954547,16.2379910381902
"FL",1996,251778,1007556,123420,754482,15240513,65432,1007556,3811514,19728262,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,13.8230381543848,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,16.7975627849145,"Florida",156.9,12573780.7520714,16.3471243111636,14426.911,642164.435946463,13.3725996806339,0.00113309940784715,0.000926920508529785,871.550448468934,44.5115684117316,97.940431945165,0.145111732150859,18319200,465333748.09638,11675717.0172084,809.301243849665,16.7234602481345,16.2730217743836
"FL",1997,251101,1232731,121853,787614,15986690,75844,1232731,3918400,20985579,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,14.0247425912724,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,16.8593460455057,"Florida",160.5,13075127.1028037,16.3862222889237,14683.35,768056.697819315,13.5516188346904,0.00111597300949196,0.000922924185195505,890.473025760722,52.3080017720285,111.66539306454,7.64260588726462,22413290.9090909,491406830.84115,13964667.2330784,951.054577673245,16.9251646850221,16.4520409284401
"FL",1998,289627,1271261,120796,984694,16927461,69722,1271261,4003817,22513115,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,14.0555198792082,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,16.9296085862498,"Florida",163,13811726.993865,16.4410285714311,14908.23,779914.72392638,13.5669398643895,0.00110281559725273,0.000910030222527388,926.449819587235,52.3143742702105,142.444570718641,7.35003918026349,23113836.3636364,503911721.026002,14180267.7077524,951.170441276556,16.9559419729578,16.4673619581392
"FL",1999,296531,1266959,126455,960814,17920401,67100,1266959,4039279,23798564,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,14.0521300988744,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,16.985135800687,"Florida",166.6,14284852.3409364,16.4747102569423,15111.244,760479.591836735,13.5417045551297,0.00109022859116975,0.000896134332496368,945.312797605306,50.3254127745363,156.109932564299,5.06213847940616,23035618.1818182,508053949.627136,13826901.6697588,915.007504991569,16.9525521926241,16.4421266488794
"FL",2000,253371,1182796,120967,762653,19131173,56597,1182796,4120285,24817263,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,13.9833916851489,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,17.0270500576875,"Florida",172.2,14411883.2752613,16.483563651682,16047.515,686873.403019745,13.4399052791433,0.00102717234734985,0.000837506946037646,898.075700521938,42.8024777057223,103.675219308519,-2.75973579459097,21505381.8181818,536747035.16888,12488607.3276317,778.226867376769,16.8838137788985,16.340327372893
"FL",2001,255025,1591473,123905,498924,19003812,49315,1591473,4287526,24938748,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,14.2801705604331,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,17.0319332964749,"Florida",177.1,14081732.3546019,16.4603889376742,16356.966,898629.587803501,13.7086262016324,0.00100632286804742,0.000838091012821842,860.901242602198,54.9386474119651,61.3031452163661,9.0774947064687,28935872.7272727,522438574.160522,16338719.7782455,998.884498399364,17.1805926541828,16.6090482953821
"FL",2002,281803,1218864,128147,427626,19456464,40114,1218864,5047755,25352237,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,14.0134298353813,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,17.0483775286841,"Florida",179.9,14092405.2251251,16.4611465737157,16689.37,677523.068371317,13.4261988804129,0.000986325222205254,0.000804476075514707,844.394079891877,40.5960841164956,39.5983663336327,-5.56400779418394,22161163.6363636,433192993.186967,12318601.2431148,738.110620299918,16.913851929131,16.3266209741625
"FL",2003,300104,1226980,144416,346230,20575312,46700,1226980,5611868,26993487,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,14.0200664236417,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,17.1111061726476,"Florida",184,14670373.3695652,16.5013406010267,17004.085,666836.956521739,13.4103008520208,0.000970433904619196,0.000788651718220699,862.755824236658,39.2162798834362,52.7624945060012,-7.24275123242646,22308727.2727273,459518909.897828,12124308.3003953,713.023270607932,16.9204885173914,16.3107229457705
"FL",2004,255501,1441338,161423,276786,23409406,48651,1441338,6280891,30534283,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,14.1810824068107,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,17.2343606431127,"Florida",188.9,16164257.8083642,16.5983130545933,17415.318,763016.410799365,13.5450348182913,0.000953086992416291,0.000777765575012259,928.163230115247,43.8129473604424,112.972284212178,-2.9450229606034,26206145.4545455,460182221.332135,13873025.6508976,796.599042917136,17.0815045005604,16.445456912041
"FL",2005,279336,1785213,176414,299856,25486454,59121,1785213,6430205,33894971,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,14.395048293808,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,17.3387772132634,"Florida",195.3,17355335.8934972,16.6694105613689,17842.038,914087.557603687,13.7256816419134,0.000934277270419943,0.000769288891880705,972.721608007852,51.2322391423943,152.33304593237,4.17532961616537,32458418.1818182,574091578.669985,16619773.7746125,931.495257134442,17.2954703875576,16.6261037356631
"FL",2006,253223,2405863,191716,187941,30515783,55790,2405863,7701423,40132721,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,14.6934192329147,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,17.5077025445794,"Florida",201.6,19907103.6706349,16.8065871943703,18166.99,1193384.42460317,13.9923038827056,0.000925116774675954,0.000770204854117581,1095.78436882692,65.689716601549,270.198190579025,18.3338678701369,43742963.6363636,691909934.941711,21697898.6291486,1194.35848366453,17.5938413266643,16.8927259764552
"FL",2007,239006,2442516,196157,40518,30615783,45870,2442516,7766793,38818707,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,14.7085392135429,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,17.474412827577,"Florida",207.342,18722066.4409526,16.7452134097246,18367.842,1178013.1377145,13.9793397956905,0.000911659268939955,0.000761076875317769,1019.28503310038,64.1345421914289,188.501238680073,16.4797542548337,44409381.8181818,759097332.606732,21418420.6857182,1166.08258529871,17.6089613072926,16.8797618894401
"FL",2008,246783,2208600,220112,2100,29420120,56000,2208600,7902020,35977055,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,14.6078693885952,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,17.3983919321083,"Florida",215.303,16709964.5615714,16.6315157797777,18527.305,1025810.13734133,13.8409932362645,0.000897675931808631,0.000747059177590292,901.910157012658,55.3674772095201,65.9287464199384,7.41375006774178,40156363.6363636,659370596.574399,18651093.406206,1006.68140380946,17.5082914823448,16.7414153300142
"FL",2009,215104,1836800,239887,800,26977862,81300,1836800,7749862,32053099,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,14.4235354851074,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,17.2829044293242,"Florida",214.537,14940592.5318243,16.5195923976472,18652.644,856169.332096561,13.6602234534303,0.000885643472188029,0.000732347835161081,800.990601215801,45.9006954776257,-40.1884255493312,-2.35197086933575,33396363.6363636,508759519.978518,15566715.1290284,834.558099593193,17.323957578857,16.56064554718
"FL",2010,219401,1793180,238147,700,25239467,71010,1793180,7704172,30484883,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,14.3995011379556,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,17.2327414793636,"Florida",218.056,13980300.0146751,16.4531597548169,18846.143,822348.387570166,13.6199194134089,0.000873025305751787,0.000722690017443298,741.8122644339,43.6348375139765,-104.564378503645,-4.91676803816809,32603272.7272727,500326311.373204,14951788.8649121,793.360682072299,17.2999232317053,16.5203415071586
"FL",2011,232170,1869870,273635,320,26181186,59980,1869870,7803056,31635260,NA,NA,9,NA,NA,50,NA,NA,NA,5.5,14.4413794676977,3.91202300542815,1.70474809223843,NA,"n",0,0,NA,17.2697828792744,"Florida",224.939,14063928.4428223,16.4591238109265,19055.607,831278.702225937,13.6307203993497,0.000863741774844879,0.000715312842007589,738.046730435945,43.623837447211,-113.527528674012,-5.22670731011672,33997636.3636364,531565721.168298,15114158.2222898,793.160680858383,17.3418015614473,16.5311424930994
