"State_Acronym","year","CORPINCTX","sales","industry_dum","election_dum","phase_in_dum","rates","log_CIT","year_effective","Post","treatment","rel_year","State_Name","real_cit","logRealCitRev","real_cit_capita","detrended_CIT_capita"
"RI",2001,77998,33.34,NA,NA,NA,9,11.2644384643174,2015,0,0,-14,"Rhode Island",44041.7843026539,10.6928941055167,41.6611810926572,-15.8085793342107
"RI",2002,28273,33.34,NA,NA,NA,9,10.2496625646187,2015,0,0,-13,"Rhode Island",15715.953307393,9.66243160965033,14.7429897020089,-42.7441216092305
"RI",2003,67118,33.34,NA,NA,NA,9,11.1142075433193,2015,0,0,-12,"Rhode Island",36477.1739130435,10.5044419716984,34.0481134064038,-23.456348789207
"RI",2004,69479,33.34,NA,NA,NA,9,11.1487798276205,2015,0,0,-11,"Rhode Island",36780.836421387,10.5127322391011,34.2281362481372,-23.2936768318451
"RI",2005,113326,33.34,NA,NA,NA,9,11.6380238999484,2015,0,0,-10,"Rhode Island",58026.6257040451,10.9686572480538,54.3363201825285,-3.20284378182528
"RI",2006,169865,33.34,NA,NA,NA,9,12.0427592829069,2015,0,0,-9,"Rhode Island",84258.4325396825,11.3416439326978,79.25759530624,21.7010804575147
"RI",2007,179168,33.34,NA,NA,NA,9,12.0960791921486,2015,0,0,-8,"Rhode Island",86411.8220138708,11.3668797742962,81.7276043694365,24.1537386363398
"RI",2008,145866,33.34,NA,NA,NA,9,11.8904436710274,2015,0,0,-7,"Rhode Island",67749.1720969982,11.1235675186968,64.2170421287884,6.62582551132019
"RI",2009,108497,33.34,NA,NA,NA,9,11.5944778018108,2015,0,0,-6,"Rhode Island",50572.6284976484,10.8311657701337,47.9977416491387,-9.61082585270098
"RI",2010,121668,33.34,NA,NA,NA,9,11.7090513027406,2015,0,0,-5,"Rhode Island",55796.676083208,10.9294695781938,52.9383242060277,-4.68759418018346
"RI",2011,130644,33.34,NA,NA,NA,9,11.7802313456692,2015,0,0,-4,"Rhode Island",58079.7460644886,10.9695722773212,55.1130648942937,-2.53020437628894
"RI",2012,136362,33.34,NA,NA,NA,9,11.8230683932021,2015,0,0,-3,"Rhode Island",59392.6670557593,10.9919260474904,56.3020771355572,-1.35854301939691
"RI",2013,144310,33.34,NA,NA,NA,9,11.8797190424301,2015,0,0,-2,"Rhode Island",61947.0546066441,11.0340353412401,58.6864362107736,1.00846517144802
"RI",2014,137528,33.34,NA,NA,NA,9,11.8315828117213,2015,0,0,-1,"Rhode Island",58093.4036226007,10.9698074014994,54.986084974601,-2.70923694909607
"RI",2015,176336,100,NA,NA,NA,7,12.0801465449313,2015,1,1,0,"Rhode Island",74398.0389592308,11.2171848623989,70.393627088665,12.6809542805965
"RI",2016,144269,100,NA,NA,NA,7,11.8794348914678,2015,1,1,1,"Rhode Island",60110.3301153716,11.0039369878726,56.8249394179816,-0.905084274458417
