"","year","State_Acronym","SVRNCTAX","state","sales","year_effective","post_eff","rel_year","population"
"775",1991,"NY",NA,"New York",50,2015,0,-24,18029.532
"776",1991,"OH",9461,"Ohio",50,NA,NA,NA,10933.683
"777",1991,"OK",415528,"Oklahoma",33.34,NA,NA,NA,3166.471
"778",1991,"OR",63079,"Oregon",50,2004,0,-13,2918.745
"779",1991,"PA",NA,"Pennsylvania",33.34,2007,0,-16,11943.16
"780",1991,"RI",NA,"Rhode Island",33.34,2015,0,-24,1003.99
"781",1991,"SC",NA,"South Carolina",33.34,2007,0,-16,3559.47
"782",1991,"SD",8070,"South Dakota",NA,NA,NA,NA,701.445
"783",1991,"TN",1447,"Tennessee",33.34,2024,0,-33,4946.886
"784",1991,"TX",1355104,"Texas",NA,NA,NA,NA,17339.904
"785",1991,"UT",39851,"Utah",33.34,2011,0,-20,1771.941
"786",1991,"VA",1461,"Virginia",33.34,NA,NA,NA,6283.853
"787",1991,"VT",NA,"Vermont",33.34,2023,0,-32,567.141
"788",1991,"WA",70050,"Washington",NA,NA,NA,NA,5013.443
"789",1991,"WI",1334,"Wisconsin",50,2006,0,-15,4952.675
"790",1991,"WV",173001,"West Virginia",50,2022,0,-31,1798.212
"791",1991,"WY",266540,"Wyoming",NA,NA,NA,NA,457.739
"792",1992,"AK",1150605,"Alaska",33.34,NA,NA,NA,587.073
"793",1992,"AL",61864,"Alabama",33.34,2021,0,-29,4139.269
"794",1992,"AR",14996,"Arkansas",33.34,2021,0,-29,2394.098
"795",1992,"AZ",0,"Arizona",50,2007,0,-15,3867.333
"796",1992,"CA",29309,"California",33.34,2011,0,-19,30875.92
"797",1992,"CO",16046,"Colorado",33.34,2009,0,-17,3459.995
"798",1992,"CT",NA,"Connecticut",50,2016,0,-24,3274.997
"799",1992,"DE",NA,"Delaware",33.34,2017,0,-25,690.158
"800",1992,"FL",67000,"Florida",50,NA,NA,NA,13504.775
"801",1992,"GA",NA,"Georgia",33.34,2006,0,-14,6759.474
"802",1992,"HI",NA,"Hawaii",33.34,NA,NA,NA,1149.926
"803",1992,"IA",NA,"Iowa",100,1978,1,14,2806.923
"804",1992,"ID",792,"Idaho",33.34,2022,0,-30,1066.49
"805",1992,"IL",0,"Illinois",50,1999,0,-7,11635.197
"806",1992,"IN",762,"Indiana",33.34,2007,0,-15,5648.649
"807",1992,"KS",88789,"Kansas",33.34,NA,NA,NA,2526.042
"808",1992,"KY",203329,"Kentucky",50,2018,0,-26,3756.358
"809",1992,"LA",487887,"Louisiana",33.34,2016,0,-24,4270.849
"810",1992,"MA",NA,"Massachusetts",50,2025,0,-33,5993.474
"811",1992,"MD",NA,"Maryland",50,2018,0,-26,4902.545
"812",1992,"ME",NA,"Maine",50,2007,0,-15,1235.748
"813",1992,"MI",41331,"Michigan",40,1991,1,1,9470.323
"814",1992,"MN",2045,"Minnesota",70,2007,0,-15,4471.503
"815",1992,"MO",109,"Missouri",33.34,2020,0,-28,5193.686
"816",1992,"MS",41994,"Mississippi",33.34,NA,NA,NA,2610.193
"817",1992,"MT",123795,"Montana",33.34,2025,0,-33,822.436
"818",1992,"NC",1621,"North Carolina",50,2016,0,-24,6831.85
"819",1992,"ND",83305,"North Dakota",33.34,2016,0,-24,635.427
"820",1992,"NE",2631,"Nebraska",100,1988,1,4,1602.406
"821",1992,"NH",40,"New Hampshire",50,2022,0,-30,1112.766
"822",1992,"NJ",NA,"New Jersey",33.34,2012,0,-20,7827.77
"823",1992,"NM",239170,"New Mexico",33.34,NA,NA,NA,1580.75
"824",1992,"NV",17847,"Nevada",NA,NA,NA,NA,1330.694
"825",1992,"NY",NA,"New York",50,2015,0,-23,18082.032
"826",1992,"OH",9143,"Ohio",50,NA,NA,NA,11007.609
"827",1992,"OK",354988,"Oklahoma",33.34,NA,NA,NA,3204.174
"828",1992,"OR",63788,"Oregon",50,2004,0,-12,2973.934
"829",1992,"PA",NA,"Pennsylvania",33.34,2007,0,-15,11980.819
"830",1992,"RI",NA,"Rhode Island",33.34,2015,0,-23,1000.571
"831",1992,"SC",NA,"South Carolina",33.34,2007,0,-15,3600.576
"832",1992,"SD",5768,"South Dakota",NA,NA,NA,NA,708.698
"833",1992,"TN",1199,"Tennessee",33.34,2024,0,-32,5013.999
"834",1992,"TX",1013811,"Texas",NA,NA,NA,NA,17650.479
"835",1992,"UT",25776,"Utah",33.34,2011,0,-19,1821.498
"836",1992,"VA",1426,"Virginia",33.34,NA,NA,NA,6383.315
"837",1992,"VT",NA,"Vermont",33.34,2023,0,-31,570.115
"838",1992,"WA",64768,"Washington",NA,NA,NA,NA,5139.011
"839",1992,"WI",1275,"Wisconsin",50,2006,0,-14,5004.636
"840",1992,"WV",180833,"West Virginia",50,2022,0,-30,1805.462
"841",1992,"WY",249437,"Wyoming",NA,NA,NA,NA,463.491
