"State_Acronym","year","year_effective","State_Name","log_ci","Post","rel_year","treated","event_id","year_event_id"
"KS",1991,NA,"Kansas",15.3699054645632,0,-99,0,"NE_1988","1991_NE_1988"
"KS",1992,NA,"Kansas",15.3021428426167,0,-99,0,"NE_1988","1992_NE_1988"
"KY",1984,2018,"Kentucky",15.010750340216,0,-34,0,"NE_1988","1984_NE_1988"
"KY",1985,2018,"Kentucky",14.885127196136,0,-33,0,"NE_1988","1985_NE_1988"
"KY",1986,2018,"Kentucky",14.9852088516566,0,-32,0,"NE_1988","1986_NE_1988"
"KY",1987,2018,"Kentucky",15.1205873836396,0,-31,0,"NE_1988","1987_NE_1988"
"KY",1988,2018,"Kentucky",15.0761635008552,0,-30,0,"NE_1988","1988_NE_1988"
"KY",1989,2018,"Kentucky",15.2710832670602,0,-29,0,"NE_1988","1989_NE_1988"
"KY",1990,2018,"Kentucky",15.164865463951,0,-28,0,"NE_1988","1990_NE_1988"
"KY",1991,2018,"Kentucky",15.1997747346537,0,-27,0,"NE_1988","1991_NE_1988"
"KY",1992,2018,"Kentucky",15.0049307115368,0,-26,0,"NE_1988","1992_NE_1988"
"LA",1984,2016,"Louisiana",15.0022100336198,0,-32,0,"NE_1988","1984_NE_1988"
"LA",1985,2016,"Louisiana",15.1156954080184,0,-31,0,"NE_1988","1985_NE_1988"
"LA",1986,2016,"Louisiana",15.0087320232156,0,-30,0,"NE_1988","1986_NE_1988"
"LA",1987,2016,"Louisiana",14.6867463908719,0,-29,0,"NE_1988","1987_NE_1988"
"LA",1988,2016,"Louisiana",14.8266295353493,0,-28,0,"NE_1988","1988_NE_1988"
"LA",1989,2016,"Louisiana",15.2758218156621,0,-27,0,"NE_1988","1989_NE_1988"
"LA",1990,2016,"Louisiana",15.4097789934659,0,-26,0,"NE_1988","1990_NE_1988"
"LA",1991,2016,"Louisiana",15.2224007366237,0,-25,0,"NE_1988","1991_NE_1988"
"LA",1992,2016,"Louisiana",14.8804841914309,0,-24,0,"NE_1988","1992_NE_1988"
"ME",1984,2007,"Maine",13.2748297087817,0,-23,0,"NE_1988","1984_NE_1988"
"ME",1985,2007,"Maine",13.3038820737315,0,-22,0,"NE_1988","1985_NE_1988"
"ME",1986,2007,"Maine",13.2722496584451,0,-21,0,"NE_1988","1986_NE_1988"
"ME",1987,2007,"Maine",13.5479457841809,0,-20,0,"NE_1988","1987_NE_1988"
"ME",1988,2007,"Maine",13.7626718961265,0,-19,0,"NE_1988","1988_NE_1988"
"ME",1989,2007,"Maine",13.8913200093125,0,-18,0,"NE_1988","1989_NE_1988"
"ME",1990,2007,"Maine",13.3780380755996,0,-17,0,"NE_1988","1990_NE_1988"
"ME",1991,2007,"Maine",13.6549395357408,0,-16,0,"NE_1988","1991_NE_1988"
"ME",1992,2007,"Maine",13.5708751033863,0,-15,0,"NE_1988","1992_NE_1988"
"MD",1984,2018,"Maryland",14.8571190426884,0,-34,0,"NE_1988","1984_NE_1988"
"MD",1985,2018,"Maryland",15.0728467268889,0,-33,0,"NE_1988","1985_NE_1988"
"MD",1986,2018,"Maryland",15.089799358062,0,-32,0,"NE_1988","1986_NE_1988"
"MD",1987,2018,"Maryland",15.1672467479402,0,-31,0,"NE_1988","1987_NE_1988"
"MD",1988,2018,"Maryland",15.3134421236234,0,-30,0,"NE_1988","1988_NE_1988"
"MD",1989,2018,"Maryland",15.3693723335095,0,-29,0,"NE_1988","1989_NE_1988"
"MD",1990,2018,"Maryland",15.245657744564,0,-28,0,"NE_1988","1990_NE_1988"
"MD",1991,2018,"Maryland",15.1101907577238,0,-27,0,"NE_1988","1991_NE_1988"
"MD",1992,2018,"Maryland",14.9466637905613,0,-26,0,"NE_1988","1992_NE_1988"
"MA",1984,2025,"Massachusetts",15.985605047343,0,-41,0,"NE_1988","1984_NE_1988"
"MA",1985,2025,"Massachusetts",16.1398066320236,0,-40,0,"NE_1988","1985_NE_1988"
"MA",1986,2025,"Massachusetts",16.3778236982509,0,-39,0,"NE_1988","1986_NE_1988"
"MA",1987,2025,"Massachusetts",16.408023698718,0,-38,0,"NE_1988","1987_NE_1988"
"MA",1988,2025,"Massachusetts",16.3669242657394,0,-37,0,"NE_1988","1988_NE_1988"
"MA",1989,2025,"Massachusetts",16.4741998438143,0,-36,0,"NE_1988","1989_NE_1988"
"MA",1990,2025,"Massachusetts",16.1629278411835,0,-35,0,"NE_1988","1990_NE_1988"
"MA",1991,2025,"Massachusetts",15.9717144304513,0,-34,0,"NE_1988","1991_NE_1988"
"MA",1992,2025,"Massachusetts",16.0221359205057,0,-33,0,"NE_1988","1992_NE_1988"
"MN",1984,2007,"Minnesota",14.7499620471276,0,-23,0,"NE_1988","1984_NE_1988"
"MN",1985,2007,"Minnesota",14.9767428619473,0,-22,0,"NE_1988","1985_NE_1988"
"MN",1986,2007,"Minnesota",14.9342304383154,0,-21,0,"NE_1988","1986_NE_1988"
"MN",1987,2007,"Minnesota",15.309003481341,0,-20,0,"NE_1988","1987_NE_1988"
"MN",1988,2007,"Minnesota",15.2825599236213,0,-19,0,"NE_1988","1988_NE_1988"
"MN",1989,2007,"Minnesota",15.4515760518338,0,-18,0,"NE_1988","1989_NE_1988"
"MN",1990,2007,"Minnesota",15.4392748299652,0,-17,0,"NE_1988","1990_NE_1988"
"MN",1991,2007,"Minnesota",15.3580037914774,0,-16,0,"NE_1988","1991_NE_1988"
"MN",1992,2007,"Minnesota",15.2774707151008,0,-15,0,"NE_1988","1992_NE_1988"
"MS",1984,NA,"Mississippi",14.6057481509555,0,-99,0,"NE_1988","1984_NE_1988"
"MS",1985,NA,"Mississippi",14.5714822916575,0,-99,0,"NE_1988","1985_NE_1988"
"MS",1986,NA,"Mississippi",14.4812968191676,0,-99,0,"NE_1988","1986_NE_1988"
"MS",1987,NA,"Mississippi",14.5369050014623,0,-99,0,"NE_1988","1987_NE_1988"
"MS",1988,NA,"Mississippi",14.4696050112605,0,-99,0,"NE_1988","1988_NE_1988"
"MS",1989,NA,"Mississippi",14.864841561883,0,-99,0,"NE_1988","1989_NE_1988"
"MS",1990,NA,"Mississippi",14.690854287505,0,-99,0,"NE_1988","1990_NE_1988"
"MS",1991,NA,"Mississippi",14.8438648895477,0,-99,0,"NE_1988","1991_NE_1988"
"MS",1992,NA,"Mississippi",14.8892015412271,0,-99,0,"NE_1988","1992_NE_1988"
"MO",1984,2020,"Missouri",15.0133767548584,0,-36,0,"NE_1988","1984_NE_1988"
"MO",1985,2020,"Missouri",14.9821801695191,0,-35,0,"NE_1988","1985_NE_1988"
"MO",1986,2020,"Missouri",15.0636858764099,0,-34,0,"NE_1988","1986_NE_1988"
"MO",1987,2020,"Missouri",15.3645698183289,0,-33,0,"NE_1988","1987_NE_1988"
"MO",1988,2020,"Missouri",15.3161509438687,0,-32,0,"NE_1988","1988_NE_1988"
"MO",1989,2020,"Missouri",15.3974786048086,0,-31,0,"NE_1988","1989_NE_1988"
"MO",1990,2020,"Missouri",15.0414149434744,0,-30,0,"NE_1988","1990_NE_1988"
"MO",1991,2020,"Missouri",15.0561520051125,0,-29,0,"NE_1988","1991_NE_1988"
"MO",1992,2020,"Missouri",15.0780279943727,0,-28,0,"NE_1988","1992_NE_1988"
"MT",1984,2025,"Montana",13.1699817794909,0,-41,0,"NE_1988","1984_NE_1988"
"MT",1985,2025,"Montana",13.7412817807931,0,-40,0,"NE_1988","1985_NE_1988"
"MT",1986,2025,"Montana",13.6738616512059,0,-39,0,"NE_1988","1986_NE_1988"
"MT",1987,2025,"Montana",13.1463113587154,0,-38,0,"NE_1988","1987_NE_1988"
"MT",1988,2025,"Montana",13.4363627581735,0,-37,0,"NE_1988","1988_NE_1988"
"MT",1989,2025,"Montana",13.6312315310195,0,-36,0,"NE_1988","1989_NE_1988"
"MT",1990,2025,"Montana",13.9893518139923,0,-35,0,"NE_1988","1990_NE_1988"
"MT",1991,2025,"Montana",13.8630159465456,0,-34,0,"NE_1988","1991_NE_1988"
"MT",1992,2025,"Montana",13.6583454628057,0,-33,0,"NE_1988","1992_NE_1988"
"NH",1984,2022,"New Hampshire",13.9943259754289,0,-38,0,"NE_1988","1984_NE_1988"
"NH",1985,2022,"New Hampshire",13.9610109446399,0,-37,0,"NE_1988","1985_NE_1988"
"NH",1986,2022,"New Hampshire",13.9984682760011,0,-36,0,"NE_1988","1986_NE_1988"
"NH",1987,2022,"New Hampshire",14.507075237029,0,-35,0,"NE_1988","1987_NE_1988"
"NH",1988,2022,"New Hampshire",14.4148963587097,0,-34,0,"NE_1988","1988_NE_1988"
"NH",1989,2022,"New Hampshire",14.4573973383325,0,-33,0,"NE_1988","1989_NE_1988"
"NH",1990,2022,"New Hampshire",14.2744295413898,0,-32,0,"NE_1988","1990_NE_1988"
"NH",1991,2022,"New Hampshire",14.2391838857211,0,-31,0,"NE_1988","1991_NE_1988"
"NH",1992,2022,"New Hampshire",13.9940227851329,0,-30,0,"NE_1988","1992_NE_1988"
"NJ",1984,2012,"New Jersey",16.0372542911137,0,-28,0,"NE_1988","1984_NE_1988"
"NJ",1985,2012,"New Jersey",16.1435099542868,0,-27,0,"NE_1988","1985_NE_1988"
"NJ",1986,2012,"New Jersey",16.1772918020156,0,-26,0,"NE_1988","1986_NE_1988"
"NJ",1987,2012,"New Jersey",16.3080831197921,0,-25,0,"NE_1988","1987_NE_1988"
"NJ",1988,2012,"New Jersey",16.3905363278624,0,-24,0,"NE_1988","1988_NE_1988"
"NJ",1989,2012,"New Jersey",16.4931970033071,0,-23,0,"NE_1988","1989_NE_1988"
"NJ",1990,2012,"New Jersey",16.339545324026,0,-22,0,"NE_1988","1990_NE_1988"
"NJ",1991,2012,"New Jersey",16.253616729511,0,-21,0,"NE_1988","1991_NE_1988"
"NJ",1992,2012,"New Jersey",16.0560110054925,0,-20,0,"NE_1988","1992_NE_1988"
"NM",1984,NA,"New Mexico",13.5166364581473,0,-99,0,"NE_1988","1984_NE_1988"
"NM",1985,NA,"New Mexico",13.7140928763942,0,-99,0,"NE_1988","1985_NE_1988"
"NM",1986,NA,"New Mexico",13.8173144854638,0,-99,0,"NE_1988","1986_NE_1988"
"NM",1987,NA,"New Mexico",14.0813001234735,0,-99,0,"NE_1988","1987_NE_1988"
"NM",1988,NA,"New Mexico",13.3882840633377,0,-99,0,"NE_1988","1988_NE_1988"
"NM",1989,NA,"New Mexico",13.8226168274622,0,-99,0,"NE_1988","1989_NE_1988"
"NM",1990,NA,"New Mexico",13.6075796527165,0,-99,0,"NE_1988","1990_NE_1988"
"NM",1991,NA,"New Mexico",13.376373000791,0,-99,0,"NE_1988","1991_NE_1988"
"NM",1992,NA,"New Mexico",13.8387386840835,0,-99,0,"NE_1988","1992_NE_1988"
"NY",1984,2015,"New York",16.5398401937379,0,-31,0,"NE_1988","1984_NE_1988"
"NY",1985,2015,"New York",16.7386608482971,0,-30,0,"NE_1988","1985_NE_1988"
"NY",1986,2015,"New York",16.7609379958128,0,-29,0,"NE_1988","1986_NE_1988"
"NY",1987,2015,"New York",16.9858448544173,0,-28,0,"NE_1988","1987_NE_1988"
"NY",1988,2015,"New York",16.9992173615898,0,-27,0,"NE_1988","1988_NE_1988"
"NY",1989,2015,"New York",16.9210499463843,0,-26,0,"NE_1988","1989_NE_1988"
"NY",1990,2015,"New York",16.8576115478292,0,-25,0,"NE_1988","1990_NE_1988"
"NY",1991,2015,"New York",16.9316554930956,0,-24,0,"NE_1988","1991_NE_1988"
"NY",1992,2015,"New York",17.1472347940962,0,-23,0,"NE_1988","1992_NE_1988"
"NC",1984,2016,"North Carolina",15.6293766431472,0,-32,0,"NE_1988","1984_NE_1988"
"NC",1985,2016,"North Carolina",15.9161752860956,0,-31,0,"NE_1988","1985_NE_1988"
"NC",1986,2016,"North Carolina",15.959676150445,0,-30,0,"NE_1988","1986_NE_1988"
"NC",1987,2016,"North Carolina",15.9064570912584,0,-29,0,"NE_1988","1987_NE_1988"
"NC",1988,2016,"North Carolina",16.0175631442259,0,-28,0,"NE_1988","1988_NE_1988"
"NC",1989,2016,"North Carolina",16.2381123805381,0,-27,0,"NE_1988","1989_NE_1988"
"NC",1990,2016,"North Carolina",15.9843813844705,0,-26,0,"NE_1988","1990_NE_1988"
"NC",1991,2016,"North Carolina",15.679756716499,0,-25,0,"NE_1988","1991_NE_1988"
"NC",1992,2016,"North Carolina",15.9327216984053,0,-24,0,"NE_1988","1992_NE_1988"
"ND",1984,2016,"North Dakota",12.9391728717551,0,-32,0,"NE_1988","1984_NE_1988"
"ND",1985,2016,"North Dakota",13.5976506426766,0,-31,0,"NE_1988","1985_NE_1988"
"ND",1986,2016,"North Dakota",13.1924578641126,0,-30,0,"NE_1988","1986_NE_1988"
"ND",1987,2016,"North Dakota",12.6713628028472,0,-29,0,"NE_1988","1987_NE_1988"
"ND",1988,2016,"North Dakota",12.8936088760146,0,-28,0,"NE_1988","1988_NE_1988"
"ND",1989,2016,"North Dakota",12.9094765692116,0,-27,0,"NE_1988","1989_NE_1988"
"ND",1990,2016,"North Dakota",13.0066211150956,0,-26,0,"NE_1988","1990_NE_1988"
"ND",1991,2016,"North Dakota",13.0916292180345,0,-25,0,"NE_1988","1991_NE_1988"
"ND",1992,2016,"North Dakota",12.8150615180829,0,-24,0,"NE_1988","1992_NE_1988"
"OK",1984,NA,"Oklahoma",14.7036384128397,0,-99,0,"NE_1988","1984_NE_1988"
"OK",1985,NA,"Oklahoma",14.5528851280992,0,-99,0,"NE_1988","1985_NE_1988"
"OK",1986,NA,"Oklahoma",14.5770357543595,0,-99,0,"NE_1988","1986_NE_1988"
"OK",1987,NA,"Oklahoma",14.3887812631512,0,-99,0,"NE_1988","1987_NE_1988"
"OK",1988,NA,"Oklahoma",14.3310251712164,0,-99,0,"NE_1988","1988_NE_1988"
"OK",1989,NA,"Oklahoma",14.6295559170807,0,-99,0,"NE_1988","1989_NE_1988"
"OK",1990,NA,"Oklahoma",14.4670020632554,0,-99,0,"NE_1988","1990_NE_1988"
