"","State_Acronym","year","BUSLICTAX","CORPINCTX","CORPLICTAX","PROPTAX","SLGRTAX","SVRNCTAX","TLINCTAX","TLSLTAX","TOTLTAX","INCTAX","SALESTAX","state","sales","Region","Number","perc_change_Sales","perc_change_CIT_Rev"
"140","MI",1992,76483,1729549,14506,321346,4988579,41331,4971098,1323038,11279170,3241549,NA,"Michigan",40,NA,NA,0,0.0821270199942335
"141","MI",1993,90939,1843420,16612,313927,4837636,40069,6734128,1370333,12865907,4890708,NA,"Michigan",50,NA,NA,0.222222222222222,0.0637402675478013
"142","MI",1994,99696,2174644,18669,692835,6081009,33483,6660286,1542885,14351691,4485642,NA,"Michigan",50,NA,NA,0,0.164867458557156
"143","MI",1995,115168,2130395,20318,1488087,7667135,27198,7603467,1801147,17723494,5473072,NA,"Michigan",50,NA,NA,0,-0.0205568404839073
"144","MI",1996,212293,2189742,9922,1640411,8324240,36776,7628530,1737677,18699069,5438788,NA,"Michigan",50,NA,NA,0,0.0274745916622552
"145","MI",1997,216180,2228753,10850,1688279,8871817,41154,8159157,1739707,19855941,5930404,NA,"Michigan",80,NA,NA,0.461538461538462,0.0176580487247355
"146","MI",1998,224583,2354764,7198,1569191,8802633,30982,8670889,1928638,20516928,6316125,NA,"Michigan",80,NA,NA,0,0.0549844148063594
"147","MI",1999,207696,2413615,11986,1580622,9295972,24214,9366264,2065607,21856552,6952649,NA,"Michigan",90,NA,NA,0.117647058823529,0.0246838600706865
"148","MI",2000,212752,2382496,12938,1702501,9784723,45140,9572903,2118324,22756403,7190407,NA,"Michigan",90,NA,NA,0,-0.0129767638822371
"149","MI",2004,171844,1841010,19344,2803017,10844250,58220,8417075,2949792,24061065,6576065,NA,"Michigan",90,NA,NA,0,-0.256415404642494
"150","MI",2005,144200,1907190,20258,2152022,11534044,68055,8016114,3459949,23525187,6108924,NA,"Michigan",90,NA,NA,0,0.0353129502161037
"151","MI",2006,148850,1886168,20417,2240348,11606609,90956,8112472,3525704,23714514,6226304,NA,"Michigan",92.5,NA,NA,0.0273972602739726,-0.011083583463517
"152","MI",2007,152040,1786213,20314,2322506,11602093,81874,8228891,3618995,23848753,6442678,NA,"Michigan",92.5,NA,NA,0,-0.0544360729455903
"153","MI",2008,151006,1778317,20347,2264306,11920372,113506,8959372,3694773,24781626,7181055,NA,"Michigan",100,NA,NA,0.0779220779220779,-0.00443031760147902
"154","MI",2009,154244,703250,19585,2163428,12504160,53233,6560001,3505218,22757818,5856751,NA,"Michigan",100,NA,NA,0,-0.866442050526945
"155","MN",1985,50605,383264,2064,4087,2163282,79963,2616731,815060,5228004,2233467,NA,"Minnesota",33.34,NA,NA,0,NA
"156","MN",1986,56036,367312,2116,4782,2209443,9501,2315907,850428,4898456,1948595,NA,"Minnesota",33.34,NA,NA,0,-0.0425060220417386
"157","MN",1987,61557,422999,3187,6180,2407445,8266,2735043,938837,5546422,2312044,NA,"Minnesota",70,NA,NA,0.709502612734662,0.140924269053575
"158","MN",1988,62062,411960,2917,7536,2742963,7796,3037365,1066331,6192471,2625405,NA,"Minnesota",70,NA,NA,0,-0.0264420169134053
"159","MN",1999,196129,779176,4112,9281,5294776,2164,6085411,1890335,12481688,5306235,NA,"Minnesota",70,NA,NA,0,0.616581146065605
"160","MN",2000,224008,803357,4273,9411,5775227,2292,6350683,2051589,13338532,5547326,NA,"Minnesota",70,NA,NA,0,0.0305598682618309
"161","MN",2001,208688,732004,4375,9509,5862910,1147,6638188,2092013,13534585,5906184,NA,"Minnesota",75,NA,NA,0.0689655172413793,-0.0929462191627897
"162","MN",2002,248343,533901,4640,305573,5767254,13477,5977256,2025864,13224036,5443355,NA,"Minnesota",75,NA,NA,0,-0.312982411792354
"163","MN",2005,291669,933896,7096,619122,6641039,32348,7275060,2437303,15881131,6341164,NA,"Minnesota",75,NA,NA,0,0.545027684345996
"164","MN",2006,300463,1071884,6963,634697,7225999,28022,7934837,2788592,17331413,6862953,NA,"Minnesota",75,NA,NA,0,0.137590363848478
"165","MN",2007,297385,1183816,6763,674559,7302090,34591,8414670,2831494,17768434,7230854,NA,"Minnesota",78,NA,NA,0.0392156862745098,0.099243693753602
"166","MN",2008,330155,1040479,7400,712463,7433063,31821,8817738,2882225,18320891,7777259,NA,"Minnesota",81,NA,NA,0.0377358490566038,-0.128883084303116
"167","MN",2009,329440,779055,8871,713019,7362340,45820,7727174,2987140,17161299,6948119,NA,"Minnesota",84,NA,NA,0.0363636363636364,-0.287352695800133
"168","MN",2010,332015,721742,7955,765742,7882903,23290,7179853,3456295,17208877,6458111,NA,"Minnesota",87,NA,NA,0.0350877192982456,-0.0763767518192001
"169","MN",2011,345741,1003657,7737,774891,8235683,27618,8486053,3578288,18952919,7482396,NA,"Minnesota",90,NA,NA,0.0338983050847458,0.326782384828089
"170","MN",2012,373790,1066022,7076,807700,9139154,46370,9054106,4197014,20560540,7988084,NA,"Minnesota",93,NA,NA,0.0327868852459016,0.0602653841489429
"171","MN",2013,321197,1223309,8491,821799,9249815,54343,10174064,4240307,21852025,8950755,NA,"Minnesota",96,NA,NA,0.0317460317460317,0.137408701494017
"172","MN",2014,451755,1325656,7486,837145,9709772,50578,10949487,4311599,23245827,9623831,NA,"Minnesota",100,NA,NA,0.0408163265306122,0.0803047511440918
"173","MN",2015,484485,1476629,7824,839487,9953411,58931,11846676,4469620,24479856,10370047,NA,"Minnesota",100,NA,NA,0,0.10774992550722
"174","MS",2002,76898,195814,61886,1246,3183323,31897,1180931,842849,4728905,985117,NA,"Mississippi",33.34,NA,NA,0,NA
"175","MS",2003,74522,288778,69311,1324,3304878,47241,1308806,844894,4999144,1020028,NA,"Mississippi",33.34,NA,NA,0,0.383679466437746
"176","MS",2004,59525,243846,89763,40241,3391202,53809,1305550,908294,5124730,1061704,NA,"Mississippi",100,NA,NA,0.999850007499625,-0.168719396797741
"177","MS",2005,67328,283231,98152,44070,3523388,66275,1457296,935418,5432152,1174065,NA,"Mississippi",100,NA,NA,0,0.149446855013594
"178","MO",1997,114388,411045,89174,15532,3704566,114,3449212,1112106,7815966,3038167,NA,"Missouri",33.34,NA,NA,0,NA
"179","MO",1998,165054,357904,91907,16765,3799626,81,3729621,1171787,8222326,3371717,NA,"Missouri",33.34,NA,NA,0,-0.138217228970972
"180","MO",1999,162650,276523,102106,17417,3918460,33,3903945,1202390,8563594,3627422,NA,"Missouri",100,NA,NA,0.999850007499625,-0.256549610908741
"181","MO",2000,154278,265467,89722,18430,4031605,120,3815751,1244074,8571548,3550284,NA,"Missouri",100,NA,NA,0,-0.0407978006974298
