"Year","State","Revenue","GDPDEF","RealRev","population","RealRevPerCapita"
1971,"HI",12876,22.75975,56573.5563879217,801.644,70.5719201889139
1971,"IA",28359,22.75975,124601.544393062,2851.705,43.6937005731876
1971,"ID",12563,22.75975,55198.3215984358,738.753,74.7182368104574
1971,"IL",154984,22.75975,680956.513142719,11202.397,60.7866792386236
1971,"IN",9580,22.75975,42091.850745285,5253.396,8.01231255844505
1971,"KS",25112,22.75975,110335.131097661,2246.6,49.1120498075585
1971,"KY",40093,22.75975,176157.470973978,3298.053,53.4125652237784
1971,"LA",51299,22.75975,225393.512670394,3710.487,60.7449945708997
1971,"MA",203066,22.75975,892215.424158877,5737.58,155.503788035875
1971,"MD",70260,22.75975,308702.863607904,4018.324,76.8237861376793
1971,"ME",8558,22.75975,37601.4675029383,1015.39,37.0315519189063
1971,"MI",164786,22.75975,724023.770032623,8974.186,80.6784893953193
1971,"MN",79969,22.75975,351361.504410198,3853.486,91.1801689198295
1971,"MO",27322,22.75975,120045.255330133,4725.764,25.4022958679555
1971,"MS",20083,22.75975,88239.1063170729,2265.432,38.9502339143585
1971,"MT",9546,22.75975,41942.4642186316,710.814,59.0062438537108
1971,"NC",116707,22.75975,512778.040180582,5203.531,98.5442462398287
1971,"ND",7723,22.75975,33932.7101571854,626.76,54.1398783540516
1971,"NE",9405,22.75975,41322.9495051571,1504.604,27.4643358020829
1971,"NH",12377,22.75975,54381.0894232142,761.851,71.3802166345049
1971,"NJ",112312,22.75975,493467.634749942,7281.107,67.773710062212
1971,"NM",10119,22.75975,44460.0665648788,1053.737,42.1927545154804
1971,"NV",0,22.75975,0,520.018,0
1971,"NY",572328,22.75975,2514649.76548512,18357.982,136.978550555563
1971,"OH",0,22.75975,0,10734.818,0
1971,"OK",25207,22.75975,110752.534628017,2618.601,42.2945437766261
1971,"OR",24517,22.75975,107720.866881227,2151.022,50.0789238237577
1971,"PA",431696,22.75975,1896751.94147563,11886.4,159.573288924791
1971,"RI",27647,22.75975,121473.214776085,963.107,126.126395900025
1971,"SC",43579,22.75975,191473.983677325,2662.269,71.9213511772571
1971,"SD",800,22.75975,3514.97709772735,671.297,5.23609832567008
1971,"TN",59499,22.75975,261422.027922099,4013.608,65.13392137999
1971,"TX",0,22.75975,0,11509.848,0
1971,"UT",11085,22.75975,48704.4014103846,1101.192,44.2288006182252
1971,"VA",64705,22.75975,284295.74138556,4750.838,59.8411777849634
1971,"VT",6006,22.75975,26388.6905611881,454.318,58.0841845605679
1971,"WA",0,22.75975,0,3447.553,0
1971,"WI",88792,22.75975,390127.308076758,4462.155,87.4302457168695
1971,"WV",4927,22.75975,21647.8652006283,1770.657,12.2258942305756
1971,"WY",0,22.75975,0,340.285,0
1972,"AK",6455,23.74125,27188.9643552888,324.464,83.796551713869
1972,"AL",32908,23.74125,138611.067235297,3539.4,39.162306389585
1972,"AR",31568,23.74125,132966.882535671,2018.638,65.8696024426722
1972,"AZ",28126,23.74125,118468.909598273,2008.291,58.9899121184495
1972,"CA",661071,23.74125,2784482.70415416,20585.469,135.264477294841
1972,"CO",36463,23.74125,153585.005001843,2404.619,63.870827354289
1972,"CT",122948,23.74125,517866.582425104,3068.699,168.757699085216
1972,"DE",17518,23.74125,73787.1847522772,572.913,128.793001297365
1972,"FL",27874,23.74125,117407.465908493,7511.463,15.6304392244884
1972,"GA",88928,23.74125,374571.684304744,4809.49,77.8817887769273
1972,"HI",13532,23.74125,56997.8413099563,828.331,68.8104650314383
1972,"IA",37109,23.74125,156306.007476439,2860.287,54.6469663626199
1972,"ID",12894,23.74125,54310.5354604328,763.237,71.158153313365
1972,"IL",173912,23.74125,732530.932448797,11251.948,65.1025877873589
1972,"IN",10526,23.74125,44336.3344390038,5302.435,8.36150456139562
1972,"KS",33153,23.74125,139643.026378139,2256.375,61.888217330071
1972,"KY",53903,23.74125,227043.647659664,3335.728,68.0641969787896
1972,"LA",79523,23.74125,334957.089454009,3761.646,89.0453512781397
1972,"MA",239624,23.74125,1009315.01079345,5760.302,175.219113649501
1972,"MD",77441,23.74125,326187.542778919,4073.499,80.0755180690897
1972,"ME",8588,23.74125,36173.3270152161,1034.292,34.9739986533939
1972,"MI",283527,23.74125,1194237.87711262,9028.944,132.26772445511
1972,"MN",112403,23.74125,473450.218501553,3869.747,122.346556118928
1972,"MO",50012,23.74125,210654.451640078,4758.78,44.2664825102396
1972,"MS",22953,23.74125,96679.8294108356,2307.117,41.9050396710854
1972,"MT",11523,23.74125,48535.7763386511,718.732,67.5297278243505
1972,"NC",123502,23.74125,520200.073711367,5301.15,98.1296650182257
1972,"ND",8872,23.74125,37369.5572052862,631.119,59.2115864128416
1972,"NE",10106,23.74125,42567.2616227031,1519.013,28.0229738802124
1972,"NH",16340,23.74125,68825.356710367,781.107,88.1125847167763
1972,"NJ",119528,23.74125,503461.275206655,7335.042,68.6378176439419
1972,"NM",13211,23.74125,55645.7642289264,1078.697,51.5860934339545
1972,"NV",0,23.74125,0,546.789,0
1972,"NY",781010,23.74125,3289675.14347391,18339.4,179.377468372679
1972,"OH",134698,23.74125,567358.500500184,10746.993,52.792302042086
1972,"OK",28014,23.74125,117997.15684726,2658.646,44.3824250566867
