"Abbreviation","State","EffectiveYear","Year","Revenue","GDPDEF","RealRev","population","RealRevPerCapita"
"AR","Arkansas",2021,2018,390756,110.33475,354154.969309306,3012.161,117.575046390052
"AR","Arkansas",2021,1988,116202,59.01325,196908.321436288,2342.656,84.053451055677
"AR","Arkansas",2021,1952,8661,14.255,60757.6289021396,1838,33.0563813395754
"AR","Arkansas",2021,2017,396989,107.743,368459.20384619,3003.855,122.662113799165
"AR","Arkansas",2021,1986,113205,55.6325,203487.170269177,2331.984,87.2592480347966
"AR","Arkansas",2021,1957,9777,15.82125,61796.6342735245,1733,35.6587618427724
"AR","Arkansas",2021,1968,19627,19.613,100071.381226737,1902,52.6137651034369
"AR","Arkansas",2021,1998,252870,75.23225,336119.15102898,2538.202,132.424114010225
"AR","Arkansas",2021,1959,8349,16.4025,50900.7773205304,1756,28.986775239482
"AR","Arkansas",2021,1976,56197,31.4675,178587.431476921,2170.161,82.2922499652887
"AR","Arkansas",2021,1951,7879,14.013,56226.3612359952,1901,29.5772547269833
"AR","Arkansas",2021,1996,228801,73.133,312856.029425841,2504.858,124.899706660354
"AR","Arkansas",2021,1954,8114,14.56225,55719.4114920428,1734,32.1334553010627
"AR","Arkansas",2021,2019,533915,112.31475,475373.893455668,3020.985,157.35725051785
"AZ","Arizona",2008,1951,5378,14.013,38378.6483979162,785,48.8899979591289
"AZ","Arizona",2008,2011,560236,98.161,570731.75701144,6473.416,88.165468897942
"AZ","Arizona",2008,2014,575180,103.6485,554933.260008587,6732.873,82.4214655480041
"AZ","Arizona",2008,2007,986170,92.638,1064541.54882446,6167.681,172.599968906378
"AZ","Arizona",2008,1961,6074,16.803,36148.3068499673,1407,25.6917603766647
"AZ","Arizona",2008,2012,647809,99.9985,647818.717280759,6556.344,98.8079205851247
"AZ","Arizona",2008,1982,114759,49.1005,233722.670848566,2889.861,80.8767864089539
"AZ","Arizona",2008,1984,197363,52.85775,373385.170575743,3067.135,121.737442458758
"AZ","Arizona",2008,1966,13379,18.28275,73178.2691334728,1614,45.3396958695618
"AZ","Arizona",2008,1963,7000,17.20275,40691.1685631658,1521,26.7529050382418
"AZ","Arizona",2008,2017,368136,107.743,341679.737894805,7048.088,48.4783586548302
"AZ","Arizona",2008,1997,600890,74.39475,807704.844763911,4552.207,177.431484280902
"AZ","Arizona",2008,1977,51788,33.4185,154968.056615348,2425.197,63.8991622599517
"AZ","Arizona",2008,2006,890004,90.201,986689.726277979,6029.141,163.653450181042
"AZ","Arizona",2008,1955,5235,14.807,35354.8997095968,987,35.8205670816584
"AZ","Arizona",2008,1958,4330,16.1795,26762.2608856887,1193,22.4327417315077
"AZ","Arizona",2008,1992,210824,67.27675,313368.288450319,3867.333,81.0295592467261
"AZ","Arizona",2008,1995,417481,71.81975,581289.965503918,4306.908,134.966887034485
"AZ","Arizona",2008,1988,148134,59.01325,251018.203539036,3535.183,71.0057169710977
"AZ","Arizona",2008,1960,6833,16.62725,41095.1901246448,1321,31.1091522518129
