"State","Year","Revenue"
"DE","2012",0.006289608
"DE","2013",0.006899895
"DE","2014",0.005998328
"DE","2015",0.008243769
"DE","2016",0.006980873
"DE","2017",0.005517544
"DE","2018",0.005259709
"DE","2019",0.004857385
"DE","2020",0.004678863
"DE","2021",0.003748561
"FL","...1",9
"FL","1950",0
"FL","1951",0
"FL","1952",0
"FL","1953",0
"FL","1954",0
"FL","1955",0
"FL","1956",0
"FL","1957",0
"FL","1958",0
"FL","1959",0
"FL","1960",0
"FL","1961",0
"FL","1962",0
"FL","1963",0
"FL","1964",0
"FL","1965",0
"FL","1966",0
"FL","1967",0
"FL","1968",0
"FL","1969",0
"FL","1970",0
"FL","1971",0
"FL","1972",0.006312279
"FL","1973",0.027227311
"FL","1974",0.031387054
"FL","1975",0.027138405
"FL","1976",0.024851853
"FL","1977",0.021168851
"FL","1978",0.02385751
"FL","1979",0.025925242
"FL","1980",0.027880472
"FL","1981",0.028456258
"FL","1982",0.027412868
"FL","1983",0.028242001
"FL","1984",0.023559867
"FL","1985",0.025754807
"FL","1986",0.026454697
"FL","1987",0.029126826
"FL","1988",0.028880456
"FL","1989",0.030393709
"FL","1990",0.032128232
"FL","1991",0.028597179
"FL","1992",0.031811198
"FL","1993",0.031241587
"FL","1994",0.03698541
"FL","1995",0.032501062
"FL","1996",0.034369179
"FL","1997",0.040130757
"FL","1998",0.040891516
"FL","1999",0.041180993
"FL","2000",0.036369085
"FL","2001",0.050224065
"FL","2002",0.048515597
"FL","2003",0.043227153
"FL","2004",0.047680579
"FL","2005",0.046140294
"FL","2006",0.05068268
"FL","2007",0.04615884
"FL","2008",0.044295628
"FL","2009",0.046764618
"FL","2010",0.047181367
"FL","2011",0.045534723
"FL","2012",0.048026765
"FL","2013",0.046164569
"FL","2014",0.043959535
"FL","2015",0.04602774
"FL","2016",0.049857138
"FL","2017",0.053427956
"FL","2018",0.050096889
"FL","2019",0.05217485
"FL","2020",0.047411048
"FL","2021",0.038147752
"GA","...1",10
"GA","1950",0.024905127
"GA","1951",0.031688876
"GA","1952",0.02807954
"GA","1953",0.017546654
"GA","1954",0.017006534
"GA","1955",0.015640139
"GA","1956",0.020691423
"GA","1957",0.022078803
"GA","1958",0.019935119
"GA","1959",0.02098055
"GA","1960",0.020030104
"GA","1961",0.019305035
"GA","1962",0.019027327
"GA","1963",0.023887433
"GA","1964",0.024219057
"GA","1965",0.024955469
"GA","1966",0.029097091
"GA","1967",0.029016008
"GA","1968",0.026355698
"GA","1969",0.023027802
"GA","1970",0.022668879
"GA","1971",0.023858194
"GA","1972",0.02013842
"GA","1973",0.021034862
"GA","1974",0.022051476
"GA","1975",0.017969166
"GA","1976",0.018251963
"GA","1977",0.018627486
"GA","1978",0.018980944
"GA","1979",0.018645603
"GA","1980",0.017994673
"GA","1981",0.017833991
"GA","1982",0.019117881
"GA","1983",0.018158825
"GA","1984",0.020369564
"GA","1985",0.023722216
"GA","1986",0.022716459
"GA","1987",0.021935488
"GA","1988",0.022166881
"GA","1989",0.021998821
"GA","1990",0.021985903
"GA","1991",0.020462775
"GA","1992",0.017174589
"GA","1993",0.019454594
"GA","1994",0.020294091
"GA","1995",0.022469323
"GA","1996",0.024539765
"GA","1997",0.023644908
"GA","1998",0.023794491
"GA","1999",0.025781144
"GA","2000",0.021905806
"GA","2001",0.021821661
"GA","2002",0.022611826
"GA","2003",0.017056472
"GA","2004",0.016365093
"GA","2005",0.018410236
"GA","2006",0.018764446
"GA","2007",0.019222872
"GA","2008",0.018913628
"GA","2009",0.017687378
"GA","2010",0.018015553
"GA","2011",0.016325698
"GA","2012",0.014159421
"GA","2013",0.017765485
"GA","2014",0.020300562
"GA","2015",0.020582083
"GA","2016",0.021525089
"GA","2017",0.021783243
"GA","2018",0.020731058
"GA","2019",0.021295177
"GA","2020",0.01880018
"GA","2021",0.019601667
"HI","...1",11
"HI","1950",0
"HI","1951",0
"HI","1952",0
"HI","1953",0
"HI","1954",0
"HI","1955",0.004206649
"HI","1956",0.003917499
"HI","1957",0.004208614
"HI","1958",0.004509041
"HI","1959",0.005621706
"HI","1960",0.004787596
"HI","1961",0.004600987
"HI","1962",0.005585071
"HI","1963",0.004054213
"HI","1964",0.004161295
"HI","1965",0.003922766
"HI","1966",0.004883215
"HI","1967",0.004726868
"HI","1968",0.0044471
"HI","1969",0.00432359
"HI","1970",0.003900005
"HI","1971",0.003760627
"HI","1972",0.003064424
"HI","1973",0.002375855
"HI","1974",0.003020358
"HI","1975",0.004743229
"HI","1976",0.004861195
"HI","1977",0.00300911
"HI","1978",0.002700149
"HI","1979",0.003288058
"HI","1980",0.003772821
"HI","1981",0.003729276
"HI","1982",0.00308548
"HI","1983",0.001674662
"HI","1984",0.002383927
"HI","1985",0.002763114
"HI","1986",0.002372108
"HI","1987",0.003750182
"HI","1988",0.003612325
"HI","1989",0.003691464
"HI","1990",0.004356098
"HI","1991",0.005716989
"HI","1992",0.003101335
"HI","1993",0.002195756
"HI","1994",0.00266342
"HI","1995",0.001626689
"HI","1996",0.002235902
"HI","1997",0.002199697
"HI","1998",0.001986418
"HI","1999",0.001703655
"HI","2000",0.002314463
"HI","2001",0.001909241
"HI","2002",0.00209528
"HI","2003",0.00107816
"HI","2004",0.001922622
"HI","2005",0.003208112
"HI","2006",0.003119585
"HI","2007",0.001905814
"HI","2008",0.002111774
"HI","2009",0.002001066
"HI","2010",0.002101057
"HI","2011",0.00165249
"HI","2012",0.001923861
"HI","2013",0.002755577
"HI","2014",0.002711134
"HI","2015",0.001486238
"HI","2016",0.002373438
"HI","2017",0.004142837
"HI","2018",0.003030935
"HI","2019",0.003190817
"HI","2020",0.000834452
"HI","2021",0.002143253
"IA","...1",12
"IA","1950",0.004527274
"IA","1951",0.004307918
"IA","1952",0.003442501
"IA","1953",0.00285448
"IA","1954",0.002926664
"IA","1955",0.003086407
"IA","1956",0.003571541
"IA","1957",0.003901431
"IA","1958",0.00315711
"IA","1959",0.002675726
"IA","1960",0.003226479
"IA","1961",0.003600395
"IA","1962",0.003430731
"IA","1963",0.003098795
"IA","1964",0.002960048
"IA","1965",0.003051847
"IA","1966",0.003824613
"IA","1967",0.005377626
"IA","1968",0.007579453
"IA","1969",0.007580749
"IA","1970",0.006493677
"IA","1971",0.008282667
"IA","1972",0.008403614
"IA","1973",0.008716692
"IA","1974",0.009878763
"IA","1975",0.009577092
"IA","1976",0.010701807
"IA","1977",0.010016995
"IA","1978",0.010146954
"IA","1979",0.01072552
"IA","1980",0.010401663
"IA","1981",0.009606394
"IA","1982",0.010506932
"IA","1983",0.010529022
"IA","1984",0.008515878
"IA","1985",0.008757887
"IA","1986",0.007529504
"IA","1987",0.007305806
"IA","1988",0.007314156
"IA","1989",0.008492769
"IA","1990",0.009174608
"IA","1991",0.009919453
"IA","1992",0.008824123
"IA","1993",0.006904064
"IA","1994",0.006783587
"IA","1995",0.007589849
"IA","1996",0.006922199
