State,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
SC,6228,0,9449,0,9152,0,16494,0,14487,13552,17520,14717,14305,11941,16283,17412,15856,14211,18797,21369,18036,18757,19021,24569,37525,43395,33521,40467,42318,43579,52312,63295,77568,82682,79732,106601,122924,140185,153475,152674,131546,128180,159334,199771,188351,190474,203959,220379,150926,151433,141895,176339,219052,250214,250867,239350,213622,257488,227161,192070,159837,173886,196510,246935,296753,311902,312600,249200,148500,216082,252904,386847,366263,377329,408297,340327,404164,396207,505025,740197
SD,314,0,223,0,67,0,107,0,143,150,161,151,148,173,184,188,249,378,395,470,466,495,537,562,586,583,586,606,780,800,850,900,1299,1869,2047,2504,2969,2908,3292,3680,1041,2565,17881,16938,23617,24035,26357,26490,30714,38578,35222,28142,36540,39914,38099,36888,38269,50819,45123,43387,40547,43976,47108,49142,61865,76665,69879,48772,31157,15208,59837,37172,24819,4334,33736,30728,32376,46295,37459,53960
TN,3016,0,3671,0,3510,0,7072,0,10443,12201,16791,16275,16266,14390,13819,19647,19285,16482,21392,21093,21516,22881,28392,31059,38032,43278,49957,61633,59633,59499,77804,102978,112974,126715,128621,156042,170848,186088,198222,195065,206835,203858,226242,259198,268618,298644,352120,371545,332036,345542,295266,365323,421960,493072,533862,479660,607418,571428,613924,673465,502977,612943,694798,805601,928349,1120422,1005880,816261,901617,1068573,1115383,1256173,1176971,1400973,1538649,1726223,1644159,1697469,1504881,2564458
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,1165,0,1315,0,1277,0,2081,0,2584,2485,3227,2997,3982,2415,3657,8224,5974,5312,5671,6305,7143,6395,6696,6648,8008,11000,9701,10706,11790,11085,12636,29575,20173,18002,24501,24866,29448,32874,40377,40667,40894,31592,45035,52191,66450,60891,71663,92207,94167,82463,76375,83936,125191,147374,176781,195800,184584,180141,173799,162754,110989,148218,145005,188845,348129,398894,394638,245880,245980,247661,258578,330684,307910,368681,333358,326592,460657,522382,360203,745673
VA,6273,0,7662,0,7041,0,12488,0,18458,25466,22425,20634,21958,20916,27876,27453,27130,24262,31715,28736,30287,31909,34233,39794,47864,49340,48837,67482,67369,64705,77642,96618,106406,117065,130417,159152,164790,196220,193847,182301,176965,183215,242706,287747,280768,320598,334382,347447,306170,285106,273258,365340,306667,367832,362830,425154,445659,414388,565909,363757,308554,328444,422119,605959,863320,879575,787229,633490,789655,798404,838790,772001,740511,817851,752689,826961,1165610,1247128,1362172,1579303
VT,547,0,785,0,592,0,1301,0,1172,1360,2912,2321,2142,1594,1907,2283,2115,2002,2219,2274,2502,2552,2568,3270,4116,4902,5159,5553,5819,6006,6593,7922,8024,9921,13290,16900,18700,23878,22425,22918,24954,25400,22606,34958,30531,38445,44688,38310,27128,27387,30954,32572,34932,48274,44818,45327,45886,49696,44430,44606,37306,41641,62228,68962,86083,83362,84783,86759,85178,105077,96579,105635,105817,112643,129899,111186,110819,149832,141623,166841
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,22696,0,40029,0,24918,0,42918,0,40315,53833,58029,51171,47854,43857,50808,55646,54068,48479,59057,56942,53825,62734,95244,81825,92342,102813,96103,101044,104704,88792,116805,136107,160269,153407,190419,251657,284979,327427,311321,255663,322939,339781,393481,413645,407590,470689,461369,448367,436562,440918,437689,492015,541284,670891,620889,638975,680639,670958,578120,495449,445016,526500,681990,782742,808200,923359,863088,656872,851537,850647,934103,955752,981282,1032411,986785,959699,919826,1304720,1585086,2517169
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3221,4138,3872,4927,10608,12163,12744,19122,20267,23329,21014,25591,32889,32039,34400,45146,92173,98766,88909,89890,176704,206487,221642,191214,182081,179009,184625,218686,235123,251230,221528,263121,217793,214297,220158,182364,181515,463249,533027,539136,538839,420530,237159,307278,192385,242429,203508,188758,116305,116305,110068,198799,151989,320487
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
