"State","Year","Revenue"
"GA","1971",81688
"GA","1972",88928
"GA","1973",114114
"GA","1974",132629
"GA","1975",119353
"GA","1976",132741
"GA","1977",170885
"GA","1978",203823
"GA","1979",226125
"GA","1980",239713
"GA","1981",252235
"GA","1982",267683
"GA","1983",238834
"GA","1984",315960
"GA","1985",418251
"GA","1986",418119
"GA","1987",449176
"GA","1988",478969
"GA","1989",525015
"GA","1990",478218
"GA","1991",416558
"GA","1992",375286
"GA","1993",470710
"GA","1994",521399
"GA","1995",653296
"GA","1996",719400
"GA","1997",726321
"GA","1998",739738
"GA","1999",793173
"GA","2000",712421
"GA","2001",691473
"GA","2002",568080
"GA","2003",484139
"GA","2004",494701
"GA","2005",712310
"GA","2006",890732
"GA","2007",1017187
"GA","2008",943042
"GA","2009",694717
"GA","2010",684701
"GA","2011",670410
"GA","2012",590676
"GA","2013",797255
"GA","2014",943806
"GA","2015",1000536
"GA","2016",981002
"GA","2017",971898
"GA","2018",1004298
"GA","2019",1271270
"GA","2020",984087
"GA","2021",1750735
"HI","1950",0
"HI","1951",0
"HI","1952",0
"HI","1953",0
"HI","1954",0
"HI","1955",3113
"HI","1956",3499
"HI","1957",4165
"HI","1958",4616
"HI","1959",5658
"HI","1960",5649
"HI","1961",5826
"HI","1962",7303
"HI","1963",6102
"HI","1964",7053
"HI","1965",7567
"HI","1966",9950
"HI","1967",10525
"HI","1968",11196
"HI","1969",13748
"HI","1970",14578
"HI","1971",12876
"HI","1972",13532
"HI","1973",12889
"HI","1974",18166
"HI","1975",31505
"HI","1976",35354
"HI","1977",27605
"HI","1978",28995
"HI","1979",39876
"HI","1980",50259
"HI","1981",52745
"HI","1982",43202
"HI","1983",22026
"HI","1984",36978
"HI","1985",48717
"HI","1986",43661
"HI","1987",76793
"HI","1988",78053
"HI","1989",88099
"HI","1990",94750
"HI","1991",116380
"HI","1992",67768
"HI","1993",53127
"HI","1994",68429
"HI","1995",47296
"HI","1996",65547
"HI","1997",67570
"HI","1998",61755
"HI","1999",52414
"HI","2000",75271
"HI","2001",60499
"HI","2002",52640
"HI","2003",30603
"HI","2004",58119
"HI","2005",124125
"HI","2006",148084
"HI","2007",100847
"HI","2008",105294
"HI","2009",78597
"HI","2010",79853
"HI","2011",67859
"HI","2012",80256
"HI","2013",123661
"HI","2014",126045
"HI","2015",72249
"HI","2016",108169
"HI","2017",184840
"HI","2018",146831
"HI","2019",190484
"HI","2020",43679
"HI","2021",191426
"IA","1950",2652
"IA","1951",2961
"IA","1952",2884
"IA","1953",2312
"IA","1954",2258
"IA","1955",2284
"IA","1956",3190
"IA","1957",3861
"IA","1958",3232
"IA","1959",2693
"IA","1960",3807
"IA","1961",4559
"IA","1962",4486
"IA","1963",4664
"IA","1964",5017
"IA","1965",5887
"IA","1966",7793
"IA","1967",11974
"IA","1968",19082
"IA","1969",24105
"IA","1970",24273
"IA","1971",28359
"IA","1972",37109
"IA","1973",47288
"IA","1974",59416
"IA","1975",63612
"IA","1976",77831
"IA","1977",91894
"IA","1978",108961
"IA","1979",130074
"IA","1980",138564
"IA","1981",135868
"IA","1982",147115
"IA","1983",138483
"IA","1984",132093
"IA","1985",154412
"IA","1986",138588
"IA","1987",149602
"IA","1988",158040
"IA","1989",202685
"IA","1990",199558
"IA","1991",201929
"IA","1992",192818
"IA","1993",167046
"IA","1994",174285
"IA","1995",220675
"IA","1996",202929
"IA","1997",221041
"IA","1998",196841
"IA","1999",234540
"IA","2000",214605
"IA","2001",166745
"IA","2002",88310
"IA","2003",140031
"IA","2004",89826
"IA","2005",186469
"IA","2006",284976
"IA","2007",325077
"IA","2008",347248
"IA","2009",264365
"IA","2010",192138
"IA","2011",250272
"IA","2012",425776
"IA","2013",428554
"IA","2014",388699
"IA","2015",463238
"IA","2016",376865
"IA","2017",432020
"IA","2018",443187
"IA","2019",535594
"IA","2020",620486
"IA","2021",793641
"ID","1950",3297
"ID","1951",3500
"ID","1952",4064
"ID","1953",3518
"ID","1954",2908
